score 	 sentence_1 	 sentence_2
3.2 	 Manipulate or move something in order to operate.	cause to go on or to be engaged or set in operation. 
4.6 	 drag loosely along a surface, trail	drag loosely along a surface; allow to sweep the ground. 
4 	 Influence or control skillfully and often deviously.	influence or control shrewdly or deviously. 
5 	 Cause to be perplexed or mentally confounded.	cause to be perplexed or confounded. 
3.8 	 symbolize, serve as an example of	serve as a means of expressing something. 
1.6 	 the activity of removing a resource	the act of decreasing something markedly. 
3.6 	 pass (a thread) through or into,on or as if on a string	thread on or as if on a string. 
4.6 	 changing one thing for another	the act of changing one thing for another thing. 
5 	 lack of agreement, not harmonious	lack of agreement or harmony. 
4 	 build, make by combining materials or parts	put together out of artificial or natural components or parts. 
4.2 	 the act or capability of seeing	the act of looking or seeing or observing. 
4.2 	 an assertion offered as evidence, a line of reasoning	a fact or assertion offered as evidence that something is true. 
4.2 	 stain with a dirty substance	stain with a dirty substance, such as soot. 
4.8 	 Appoint, ordain to a clerical post	appoint to a clerical posts. 
3.6 	 expect, predict, or forsee something in the future	make a prediction about; tell in advance. 
4.4 	 state or explain the meaning	give a definition for the meaning of a word. 
3.6 	 immerse briefly into liquid or container	immerse briefly into a liquid so as to wet, coat, or saturate. 
3.8 	 A contract granting use or occupation of property under certain terms or conditions.	a contract granting use or occupation of property during a specified time for a specified payment. 
4.4 	 pass or put a vessel through a lock in a waterway	pass by means through a lock in a waterway. 
4 	 cause to assume a condition	put into a certain state; cause to be in a certain state. 
4.25 	 the inclusion of all members of mathematical sets	a set containing all and only the members of two or more given sets. 
2.2 	 drench periodically with liquid while cooking	cover with liquid before cooking. 
5 	 Raise to a higher energy level (as in physics)	raise to a higher energy level. 
4.8 	 make certain the failure or destruction of; destine	make certain of the failure or destruction of. 
1.8 	 function in a particular manner when moving	have certain properties when driven. 
4.2 	 a set of pieces of creative work for showing	a set of pieces of creative work collected to be shown to potential customers or employers. 
4.2 	 a person who takes pictures, often a professional	someone who takes photographs professionally. 
4.2 	 Come into existence; reveal its presence or make an apprearance.	reveal its presence or make an appearance. 
4.66666666666667 	 Reduce to small pieces by pounding or grinding.	reduce to small pieces or particles by pounding or abrading. 
1.2 	 discern, identify, or know because of a previous experience	exhibit recognition for (an antigen or a substrate). 
4.2 	 perform or supervise a ritual	perform (a church sacrament) ritually. 
4.6 	 An object impairs the respiration of someone or something.	impair the respiration of or obstruct the air passage of. 
2 	 the close approach of one object to another	the motion of one object relative to another. 
5 	 act in accordance with rules, commands, or wishes	act in accordance with someone's rules, commands, or wishes. 
3 	 cost or monetary value of goods or services	the high value or worth of something. 
4.4 	 a functioning unit of a larger political organization, a cadre	a small unit serving as part of or as the nucleus of a larger political movement. 
2.8 	 Involve as a necessary accompaniment or result; have as a logical consequence.	impose, involve, or imply as a necessary accompaniment or result. 
4.6 	 regard with consideration or respect	regard or treat with consideration, respect, and esteem. 
4 	 the act of lifting something	the act of raising something. 
3.4 	 Lie at an angle; bend along a path.	to incline or bend from a vertical position. 
3.2 	 hinder or conceal the progress or occurrence of	prevent the progress or free movement of. 
0.8 	 The act of coming to rest after a voyage.	the act of coming down to the earth (or other surface). 
4.2 	 Put down by force or authority; come down on or keep down by unjust use of authority.	come down on or keep down by unjust use of one's authority. 
5 	 remove facial hair by tying a fine string around it and pulling	remove facial hair by tying a fine string around it and pulling at the string. 
4.6 	 manage, handle, or control something	direct the course of; manage or control. 
3.8 	 physical force that draws objects together	the force by which one object attracts another. 
3.6 	 deal with according to routine or procedure	deal with in a routine way. 
4.4 	 Enclose in a protective covering.	cover with a protective sheathing. 
4.8 	 reverse a direction, attitude or course of action, perhaps perceptually.	reverse (a direction, attitude, or course of action). 
4.2 	 a fixed entrance fee to a club or venue	a fixed charge by a restaurant or nightclub over and above the charge for food and drink. 
1.2 	 the act of allowing, bestowing something	the act of providing a subsidy. 
5 	 Draw in and expel air through lungs.	draw air into, and expel out of, the lungs. 
5 	 starting page of a website	the opening page of a web site. 
4.6 	 (Baseball) Tag the base runner to get him out.	tag the base runner to get him out. 
2 	 (cause to) move abruptly, often making a short, sharp sound	close with a snapping motion. 
3.6 	 people assembled together in a rhythmic movement	a party of people assembled for dancing. 
4.4 	 a conveyance or transporter, often wheeled	a conveyance that transports people or objects. 
4.6 	 365 days from January 1 to December 31, the Gregorian calendar	the year (reckoned from January 1 to December 31) according to Gregorian calendar. 
5 	 Apply conditioner to make smooth and shiny.	apply conditioner to in order to make smooth and shiny. 
3.8 	 a vote, a public and legal choosing of officials	a vote to select the winner of a position or political office. 
3.4 	 approach a certain measurement, whether of age, speed, temperature, etc.	approach a certain age or speed. 
3.6 	 to fill with coal or oil	fill (a ship's bunker) with coal or oil. 
5 	 assign to a particular task	assign to a specific task. 
4.6 	 leave isolated with little hope of rescue	leave stranded or isolated with little hope of rescue. 
3.4 	 an organism infected with another parasitic organism or pathogen	an animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association. 
4 	 make coincide in time or operation	make synchronous and adjust in time or manner. 
5 	 confine in or as if in a prison	lock up or confine, in or as in a jail. 
4.8 	 the forceful exhalation of air from nose or mouth	forceful exhalation through the nose or mouth. 
4.4 	 a social system of production, distribution and consumption	the system of production and distribution and consumption. 
4.2 	 keep something intact, maintain unchanged condition	keep in safety and protect from harm, decay, loss, or destruction. 
2.8 	 a result or outcome of a previous cause or condition	the outcome of an event especially as relative to an individual. 
4.8 	 regard something likely or reasonable to happen	regard something as probable or likely. 
5 	 an increase in size as measured per unit of time	the rate of increase in size per unit time. 
5 	 have a great affection, liking, or desire for	have a great affection or liking for. 
2.8 	 keep something or someone under control; stop something from happening	stop for a moment, as if out of uncertainty or caution. 
4.4 	 Find out or determine, perhaps after a calculation or investigation.	find out, learn, or determine with certainty, usually by making an inquiry or other effort. 
3.75 	 Something that serves to suggest a certain fact.	something that serves to indicate or suggest. 
4.4 	 A fee levied for the use of roads or bridges.	a fee levied for the use of roads or bridges (used for maintenance). 
4.8 	 Obtain from a storage device, as of information on a computer.	obtain or retrieve from a storage device; as of information on a computer. 
4.25 	 repeat; reestablish or begin again	reestablish on a new, usually improved, basis or make new or like new. 
3 	 COMPUTERS: obtain data/images from magnetic tapes or with a beam of light	obtain data from magnetic tapes. 
3.8 	 Improve or perfect by polishing, pruning, or making more concise.	improve or perfect by pruning or polishing. 
5 	 signify or mean to express or convey	mean or intend to express or convey. 
4.6 	 Strike heavily, especially with a fist or implement.	strike heavily, especially with the fist or a bat. 
3.4 	 a self-propelled projectile driven by self-contained propellant	any vehicle self-propelled by a rocket engine. 
4.4 	 Break open or apart suddenly and forcefully; separate or cause to separate; go to pieces.	separate or cause to separate abruptly. 
4.2 	 cause to match (ideas or acts); be compatible	cause to match, as of ideas or acts. 
4.4 	 (Cause to) be firmly attached or closed.	cause to be firmly attached. 
4 	 a chart or map showing the dimensions, movements or progress of something	a chart or map showing the movements or progress of an object. 
3.4 	 Identify, establish location or identity	recognize as being; establish the identity of someone or something. 
2.8 	 put or set into, between or among	put or introduce into something. 
4.2 	 a person or thing in the role of being a replacement for something else	a person or thing that takes or can take the place of another. 
4.6 	 division of a university that offers degrees beyond bachelor's degree	a school in a university offering study leading to degrees beyond the bachelor's degree. 
4.8 	 Subsist on a meager allowance or supply.	subsist on a meager allowance. 
4.4 	 provide, raise, or supply funds to	obtain or provide money for. 
4.2 	 an official with responsibility to supervise some domain of social activity	an official responsible for control and supervision of a particular activity or area of public interest. 
4.6 	 The act of creating written works.	the activity of putting something in written form. 
5 	 take or capture by force or authority	take or capture by force. 
4.6 	 Go after with the intent to follow or catch.	go after with the intent to catch. 
3.2 	 an official campaign against a perceived societal harm	a concerted campaign to end something that is injurious. 
4.2 	 Remove feathers, pits, shells, skin, husks	remove shells or husks from. 
3.2 	 aggressive willingness to battle, pugnaciousness	an aggressive willingness to compete. 
4.8 	 Pat or squeeze, especially under the chin.	pat or squeeze fondly or playfully, especially under the chin. 
4.9 	 give a neat appearance to, neaten	give a neat appearance to. 
0 	 the spatial, geometric contour of an object	the set of elements common to two or more sets. 
1.8 	 the physiological activation of an organism or organ	resist immunologically the introduction of some foreign tissue or organ. 
0.6 	 supporter, advocate of something or someone	the act of hiring something or someone. 
4.8 	 make up something fictional or untrue	make up something artificial or untrue. 
0 	 regulate or set the time of (a clock)	billow up in the form of a cloud. 
0 	 the act of substituting one thing for another	the act of testing something. 
4 	 the foremost part of something	the first part or section of something. 
1 	 the state of being in contact	the state of being active. 
0 	 measure the time or duration of	make weak by stunting the growth or development of. 
0.6 	 Create an electrical short in something.	the act of stopping something. 
4.4 	 Move or cause to move with a sudden, jerky movement.	pull, or move with a sudden movement. 
5 	 the concluding section of a communication	the last section of a communication. 
0.6 	 final stage of an event or activity	make a retreat from an earlier commitment or activity. 
0.4 	 the act of governing, administrating	the act of liberating someone or something. 
0 	 the act of moving, turning something	the act of retaining something. 
0 	 the state of being retained	the state of being angry. 
0 	 hold in a given state or situation	create and charge with a task or function. 
1.2 	 the act of putting a preparation on something.	the management of someone or something. 
0.4 	 Soak up (as if) with a sponge.	hurl as if with a sling. 
4.6 	 register formally as a participant	register formally as a participant or member. 
0.2 	 The act of creating written works.	an act of delaying or interrupting the continuity. 
0 	 the state of having options, alternatives	the act of admitting someone to enter. 
0 	 the activity of examining or assessing something	the act of retaining something. 
0.6 	 the act of forecasting or predicting something	the act of decreasing or reducing something. 
0.2 	 the act of concealing or disguising	the state of inactivity following an interruption. 
0 	 the act of providing help or aid to someone	the act of looking or seeing or observing. 
1 	 the state of being retained	the trait of being well behaved. 
1.4 	 Provide sexual gratification through oral stimulation.	get sexual gratification through self-stimulation. 
0.4 	 act or do something in reaction to something	the remains of something that has been destroyed or broken up. 
0.6 	 the quality of being useful for something	the act of changing one thing for another thing. 
0 	 protect with or as if with a shield	separate with or as if with an instrument. 
4.6 	 Declare invalid; take away the legal force of or render ineffective.	take away the legal force of or render ineffective. 
0.2 	 bind somebody or become bound emotionally	be in some specified state or condition. 
0.8 	 assimilate into the mind or a situation	lift and reset in another soil or situation. 
1.26666666666667 	 The human act of making something new.	the speech act of making something evident. 
4.26666666666667 	 put up with something unpleasant	put up with something or somebody unpleasant. 
0 	 the manner in which something or someon functions or operates	the act of forcing something out by squeezing or pressing. 
0 	 location sheltered from the wind	a portion removed from the whole. 
0.8 	 the act of choosing or selecting	the act of looking or seeing or observing. 
5 	 Move or cause to move with a sudden, jerky movement.	move or cause to move with a sudden jerky motion. 
0 	 the act of intentionally omitting something	have flavor; taste of something. 
1.2 	 the noise of something rapping against a surface	the act of applying paint to a surface. 
2.6 	 (Cause to) form a cluster in either abstract or physical space.	cause to have, in the abstract sense or physical sense. 
4.7 	 incline from a vertical position	to incline or bend from a vertical position. 
2.2 	 the act of moving, turning something	the act of passing from one state or place to the next. 
0 	 make an incision or separation	take measures in preparation for. 
4.2 	 an established linear path of travel	an established line of travel or access. 
4.4 	 behave in a certain way, usu. joyful	behave in a certain way. 
0.2 	 make purer, more intense, as by removal of extraneous elements	make dirty or spotty, as by exposure to air; also used metaphorically. 
0 	 the spatial, geometric contour of an object	the speech act of objecting. 
2.8 	 a physical difficulty or obstacle	get despite difficulties or obstacles. 
4.8 	 ABIDE BY: act in accordance with rules, commands, or wishes.	act in accordance with someone's rules, commands, or wishes. 
0 	 want, desire or perfer to do something	a disagreement or argument about something important. 
2.4 	 look at or observe something or someone	the visual appearance of something or someone. 
1.2 	 the nature, makeup or constitution of something	change the nature, purpose, or function of something. 
5 	 make sense of, give meaning to	make sense of; assign a meaning to. 
2 	 move, transfer or carry something or someone	a means or agency by which something is expressed or communicated. 
0.4 	 the state of being retained	the state of being in effect or being operative. 
0 	 the act of providing help or aid to someone	the act of perceiving the odor of something. 
4.2 	 FARM OUT: arrange for contracted work to be done by others.	arranged for contracted work to be done by others. 
0 	 Fasten (as if) with a rivet or rivets.	create and charge with a task or function. 
1.2 	 cause to be immersed in	cause to be firmly attached. 
0 	 the act of moving, turning something	the act of describing something. 
4.8 	 build, make by combining materials or parts	make by combining materials and parts. 
0.2 	 (cause to) happen at a later time	where you live at a particular time. 
1 	 the act of preserving or protecting something	the act of colliding with something. 
0.2 	 the act of preserving or protecting something	the act of rejecting something. 
4.2 	 (Cause to) become less tense; rest or take one's ease.	become less tense, rest, or take one's ease. 
0.8 	 the act of arriving at a certain place	the occurrence of a uniting of separate parts. 
0 	 the act of grasping into one's arms	the trait of wasting resources. 
0 	 a state of being encircled	the state of being excommunicated. 
4.7 	 incline from a vertical position	to incline or bend from a vertical position. 
0 	 (cause to) be overcome with sudden fears	to bring or combine together or with something else. 
1.8 	 leave undone or leave out	terminate, end, or take out. 
4.8 	 changing one thing for another	the act of changing one thing or position for another. 
4.66666666666667 	 Reduce to small pieces by pounding or grinding.	reduce to small pieces or particles by pounding or abrading. 
0 	 put into or keep in a stall	bring into a different state. 
0 	 The appropriate or desirable thing.	the upper part of anything. 
0.4 	 the act of concealing or disguising	the act of clipping or snipping. 
4.6 	 a visual characterization of something	a visual representation of something. 
0 	 physically grapple with an opponent	an exclusive circle of people with a common purpose. 
0 	 the scent or odor of something	the act of applying force to propel something. 
0 	 The human act of making something new.	the act of breaking something. 
4.91666666666667 	 (cause to) separate or move in different directions	to cause to separate and go in different directions. 
0 	 a state or act of gaining pleasure	the act of spending or disbursing money. 
2.4 	 Change the meaning of (someone's) words with intent to deceive.	make a copy of with the intent to deceive. 
0.4 	 the act of preserving or protecting something	the act of testing something. 
4.26666666666667 	 put up with something unpleasant	put up with something or somebody unpleasant. 
0.4 	 the act of appraising, critiquing something	the act of catching an object with the hands. 
3 	 (cause to) appear suddenly or briefly	cause to happen or be responsible for. 
4.2 	 take action or behave in a certain way	compel to behave in a certain way. 
0.8 	 the state of being retained	the state of being active. 
0 	 An instance or action of being incorrect.	show consideration for; take into account. 
0.4 	 the act of expressing approval, support of something	the act of decreasing something markedly. 
0.6 	 the act of putting something to use.	the activity of protecting something from loss or danger. 
4.4 	 Discourage or frighten with threats or a domineering manner; intimidate; be bossy towards someone.	discourage or frighten with threats or a domineering manner; intimidate. 
0 	 sacrifice or toll required to achieve something	an appraisal of the value of something. 
0 	 the act of advocating or promoting something	the act of taking of a person by force. 
0 	 the state of being employed	the state of being excommunicated. 
1.8 	 the quality of being useful for something	the quality of not being useful or convenient. 
0 	 a person who memorizes or learns quickly	a person who joins with others in some activity or endeavor. 
0 	 the state of having one's weight supported	the state of being connected. 
0 	 the act of forecasting or predicting something	the act of raising something. 
4.46666666666667 	 give a detailed account of	narrate or give a detailed account of. 
0.4 	 An exciting or stimulating experience.	the act of constructing something. 
0 	 the act of forecasting or predicting something	the act of climbing something. 
0 	 the act of providing incentive to someone	the act of damaging something or someone. 
1.9 	 the act of putting something to use.	the act of testing something. 
0 	 the root or base form of a word	the removal of an opponent's piece from the chess board. 
1.6 	 be or come into conflict	originate or come into being. 
2.4 	 make or become more acute or intense	make or become more narrow or restricted. 
5 	 Move or arrange oneself (oneselves) in a comfortable and cozy position.	move or arrange oneself in a comfortable and cozy position. 
0 	 Literally cause to become unable to see.	bind by an obligation; cause to be indebted. 
0.8 	 attract; cause to be enamored by (one's) nature.	matter that has been deposited by some natural process. 
2.8 	 visual representation sketched by hand	a visual representation of something. 
0.4 	 a person who is a member of the senate	a person who is a member of a partnership. 
0 	 Cover or back with foil.	communicate or signal with a flag. 
0 	 The state of being pleased with life.	the state of being joined or united or linked. 
0.4 	 look at or observe something or someone	the act of hiring something or someone. 
4.9 	 give a neat appearance to, neaten	give a neat appearance to. 
1 	 an abundance or profusion of something	place under suspicion or cast doubt upon. 
3.6 	 request or demand a response from someone; challenge someone	make a request or demand for something to somebody. 
0.4 	 the act of moving, turning something	the act of making up your mind about something. 
0 	 the state of being employed	the state of being depleted. 
0 	 set forth as an introduction or preface	stir the feelings, emotions, or peace of. 
0 	 the act of concealing or disguising	the act of providing a subsidy. 
0 	 The act of beginning something new.	the act of rejecting something. 
4.91666666666667 	 (cause to) separate or move in different directions	to cause to separate and go in different directions. 
0.2 	 live in the bushes as a fugitive or guerilla	declare in the capacity of an umpire or referee. 
0 	 The act of purchasing back something previously sold.	the act of damaging something or someone. 
5 	 Bring, lead, or force to abandon an evil path or lifestyle and adopt a right course of action.	bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one. 
4.2 	 (Cause to) run at a moderately swift pace.	run at a moderately swift pace. 
0.4 	 (cause to) meet or intersect	cause to make a snapping sound. 
0.8 	 settle or deal with something	put or introduce into something. 
0.6 	 cause to turn from one course or use to another	send from one person or place to another. 
4 	 search (as the bottom of a body of water) for something	search (as the bottom of a body of water) for something valuable or lost. 
0 	 realize and regret the absence of something or somebody	a restraint that checks the motion of something. 
3.6 	 Follow one's own or another's path	go one's own way; move apart. 
0.4 	 the state of being in contact	the state or fact of being an owner. 
5 	 the act or means of getting rid of something.	the act of removing or getting rid of something. 
0.8 	 set forth as an introduction or preface	set or ask for a certain price. 
2.2 	 severance from a social connection or tie	free from obligations or duties. 
1.26666666666667 	 The human act of making something new.	the speech act of making something evident. 
0.6 	 the state of being retained	the state of being rejected. 
0.6 	 An instance or action of being incorrect.	the space where a division or parting occurs. 
4 	 DELIVER THE GOODS: attain success, reach a goal	attain success or reach a desired goal. 
3.7 	 the act of harming or hurting someone	the act of damaging something or someone. 
4.46666666666667 	 give a detailed account of	narrate or give a detailed account of. 
0 	 the pulsation of the heart	piece (something old) with a new part. 
0 	 behave or move in a certain manner	be worthy of or have a certain rating. 
4.7 	 move or execute very quickly or hastily	run or move very quickly or hastily. 
4.8 	 infer or believe to be the case	believe to be the case. 
0 	 a border or boundary of an object	plan, organize, and carry out (an event). 
0.75 	 the act of providing incentive to someone	the act of losing someone or something. 
0.4 	 The act of beginning something new.	the act of decreasing something markedly. 
4.5 	 administer or bestow, as portions	administer or bestow, as in small portions. 
0.75 	 Entreat; ask for some information or action.	the act of passing something to another person. 
0.4 	 The act of indicating or pointing out by name.	the act of spending or disbursing money. 
0.8 	 The act of beginning something new.	the act of stopping something. 
4.8 	 move from one location to another	move from one place to another. 
0 	 set forth as an introduction or preface	expose to cool or cold air so as to cool or freshen. 
0 	 the action of placing or situating an object	the act of choosing or selecting. 
0 	 the act of putting a preparation on something.	the act of breaking something. 
1.3 	 the state of being retained	the state of being connected. 
0 	 a consequence, outcome or result of something	have a disagreement over something. 
0 	 the act of confining, preventing or blocking something	the act of changing one thing for another thing. 
0.4 	 the act of preserving or protecting something	the act of applying force to propel something. 
5 	 lessen in force, impact, or effect	lessen in force or effect. 
0 	 the act of accusing someone or something for being at fault	come into the possession of something concrete or abstract. 
2.8 	 a rationale or reason for something	a relation that provides the foundation for something. 
1.4 	 request or demand something from someone	the act of damaging something or someone. 
4.6 	 register formally as a participant	register formally as a participant or member. 
0.4 	 the act of turning, rotating an object	the trait of wasting resources. 
3.6 	 defining, distinctive form or shape of something	a prominent attribute or aspect of something. 
4.6 	 RUN AGROUND--(cause to) come to the ground	cause to come to the ground. 
5 	 Expel or eject (saliva, phlegm, sputum, or vomit) from the mouth.	expel or eject (saliva or phlegm or sputum) from the mouth. 
0 	 an aggregation of things or people	the visual appearance of something or someone. 
0.4 	 trace the form or outline of	change the arrangement or position of. 
0.4 	 the act of preserving or protecting something	the act of affirming or asserting or stating something. 
0.6 	 the act of preserving or protecting something	the act of decreasing or reducing something. 
1.2 	 Manipulate or move something in order to operate.	act or move at high speed. 
0.4 	 the process of becoming less or smaller	the bodily process of discharging waste matter. 
1.2 	 the state of being retained	the state of being actual or real. 
4.8 	 Rise or heave upward under a natural force such as a wave.	rise or heave upward under the influence of a natural force such as a wave. 
1.4 	 make a proposal or overtures to with a specific end in view	make a channel for; provide with a channel. 
0 	 the activity of examining or assessing something	the act of spending or disbursing money. 
4.6 	 combine so as to form a more complex product	combine so as to form a whole; mix. 
5 	 Understand the meaning of something.	get the meaning of something. 
0.4 	 the flavor quality of something	a relatively long narrow piece of something. 
0.4 	 estimate or calculate the numerical value of something	observe or plot the moving path of something. 
0.8 	 put in a dangerous position	put in a horizontal position. 
4.8 	 a store or supply of something	a large or extra supply of something. 
0 	 Understand the meaning of something.	organize (the production of something) into an industry. 
1 	 an allotment or percentage of something	an appraisal of the value of something. 
0 	 the act of concealing or disguising	the act of exploding or bursting. 
4.4 	 give a deceptive explanation for; cover up	give a deceptive explanation or excuse for. 
0 	 take legal action against, as in court	tie or fasten into a knot. 
0 	 The act of searching for or buying goods or services.	the act of branching out or dividing into branches. 
0 	 bring to a certain pressure	bring to a certain spiritual state. 
5 	 penetrate or cut with a sharp instrument	penetrate or cut through with a sharp instrument. 
0.4 	 (Cause to) run at a moderately swift pace.	cause bodily suffering to and make sick or indisposed. 
0 	 the way something conforms to a shape	how something is done or how it happens. 
0.4 	 realize and regret the absence of something or somebody	a judgment of the qualities of something or somebody. 
4.8 	 Make receptive or willing toward an action or belief.	make receptive or willing towards an action or attitude or belief. 
0 	 an agent or company that insures something	an energetic attempt to achieve something. 
0 	 the event of proposing or volunteering something	the act of rejecting something. 
1.2 	 remove from a place or from office	remove from a contest or race. 
4.2 	 (Cause to) become less tense; rest or take one's ease.	become less tense, rest, or take one's ease. 
0 	 free (from restraint), let loose	a loud resonant repeating noise. 
0.4 	 the act of turning, rotating an object	the act of troubling or annoying someone. 
2.8 	 remove to or from a place or situation	remove or force out from a position. 
0.6 	 The act of beginning something new.	the act of breaking something. 
0 	 the quality of heightened light on areas of an object	the activity of protecting someone or something. 
0 	 act of moving or conveying something	the act of decreasing or reducing something. 
0 	 the act of preserving or protecting something	the activity of supplying or providing something. 
1.9 	 the act of putting something to use.	the act of testing something. 
0 	 draw a cross in the air over something	get the meaning of something. 
2.6 	 the act of forcibly taking the opposition	the act of forcing the enemy to withdraw. 
0 	 the act of choosing or selecting	the act of winding or twisting. 
5 	 Provoke someone to do something through (often exaggerated or false) promises or persuasion.	provoke someone to do something through (often false or exaggerated) promises or persuasion. 
0 	 Refuse to recognize something as valid (not a person).	the power to use something or someone. 
1.4 	 an indication of something, evidence	the disclosure of something secret. 
0 	 the act of improving something's quality	the act of starting something. 
4.4 	 create a new entity by putting components or members together	create by putting components or members together. 
0 	 small metal plate on toe of a dancing shoe	something that floats on the surface of water. 
0.4 	 the act of accusing someone or something for being at fault	the act of putting something in working order again. 
0 	 the state of being in contact	the state of being excluded. 
5 	 Amount that can be contained	the amount that can be contained. 
2.6 	 collection of names and addresses to serve as recipients of information content	the part of the general public interested in a source of information or entertainment. 
0 	 turn, twist or fasten (as if) with a screw	take out or up with or as if with a scoop. 
3.8 	 the act of forecasting or predicting something	the act of projecting out from something. 
1.2 	 become or cause to become obstructed	become or cause to become soft or liquid. 
0 	 have the financial means to obtain, buy, or do something	the enclosing frame around a door or window opening. 
0 	 the act of forcibly taking the opposition	the act of cracking something. 
0.6 	 The human act of making something new.	the act of raising something. 
4.26666666666667 	 put up with something unpleasant	put up with something or somebody unpleasant. 
0 	 (cause to) happen at a later time	cause to skip over a surface. 
0.4 	 a small, indefinite portion of something	lumber used in the construction of something. 
4.4 	 be given to, come into the possession of	come into the possession of. 
4.26666666666667 	 put up with something unpleasant	put up with something or somebody unpleasant. 
0.2 	 Make a crushing noise, possibly as the result of pressing or grinding.	have a range; be capable of projecting over a certain distance, as of a gun. 
1.4 	 place or lay as if in a pile	enclose in or as if in a frame. 
0.6 	 the act of rubbing a surface	the act of applying paint to a surface. 
5 	 Move or arrange oneself (oneselves) in a comfortable and cozy position.	move or arrange oneself in a comfortable and cozy position. 
0.6 	 Refuse to recognize something as valid (not a person).	the speech act of making something evident. 
0 	 the act of confining, preventing or blocking something	the act of referring or consulting. 
0.4 	 the act of choosing or selecting	the act of starting something. 
1 	 the act of putting something to use.	the act of putting something somewhere. 
0 	 meet or encounter on social or professional capacity	get or extort (money or other possessions) from someone. 
0 	 the context or setting in which something takes place	the act of starting something. 
0 	 the state of being retained	the act of breaking something. 
4.85 	 Advance; contribute to the progress or growth of.	contribute to the progress or growth of. 
1.8 	 cause or become accessible state, make or become available	cause to experience or suffer or make liable or vulnerable to. 
1 	 remove from a place or from office	remove from memory or existence. 
0 	 the act of preserving or protecting something	the act of raising something. 
4.6 	 get or find back; recover	get or find back; recover the use of. 
0.2 	 regard something likely or reasonable to happen	change toward something smaller or lower. 
0 	 An object impairs the respiration of someone or something.	an advantage to the benefit of someone or something. 
4.2 	 carry out or complete an activity	carry out or perform an action. 
4.4 	 Droop, sink, or settle from or as if from pressure or loss of tautness; become less intense.	droop, sink, or settle from or as if from pressure or loss of tautness. 
0 	 cause to turn from one course or use to another	cause (a liquid) to leach or percolate. 
1.6 	 (cause to) appear suddenly or briefly	cause to appear in a new form. 
0.4 	 the act of harming or hurting someone	the act of drawing or hauling something. 
0 	 the act of moving, turning something	the act of constructing something. 
0 	 the act of preserving or protecting something	draw up an outline or sketch for something. 
1.4 	 (cause to) come apart, separate, or split	cause to be agitated, excited, or roused. 
1.2 	 remove from a place or from office	remove from a contest or race. 
4.46666666666667 	 give a detailed account of	narrate or give a detailed account of. 
0.8 	 the act of flipping an object into the air	the act of rending or ripping or splitting something. 
0.2 	 the act of preserving or protecting something	the act of choosing or selecting. 
0 	 the act of protesting, dissenting	the act of breaking something. 
0 	 the activity of pretending to be someone or something else	the activity of protecting someone or something. 
0 	 make an image or sound clearer; put into focus	make a mess of or create disorder in. 
0.2 	 the act of turning, rotating an object	the act of catching an object with the hands. 
1 	 the act of appraising, critiquing something	the act of decreasing or reducing something. 
4.2 	 (Cause to) run at a moderately swift pace.	run at a moderately swift pace. 
0.4 	 pass time in a particular place or way	assign a new time and place for an event. 
0 	 (Cause to) be covered with something.	give someone credit for something. 
0.4 	 (The act of making) a measurement of something.	the state of being unsure of something. 
3.8 	 write all the required information	write all the required information onto a form. 
0 	 abrupt state of disbelief about something	the act of choosing or selecting. 
0.2 	 the act of concealing or disguising	the act of forming or establishing something. 
0 	 the cause or instigation of something	the end or completion of something. 
4.4 	 Lose clarity or turn aside, especially from the main subject of attention or course of argument.	lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking. 
0 	 a context or situation that hinders or impedes	a negative aspect of something that is generally positive. 
0 	 Create an electrical short in something.	have an argument about something. 
3.2 	 Have a complexion with a strong bright color; reflect emotion via one's complexion.	have a complexion with a strong bright color, such as red or pink. 
3 	 ascribe or place in association with	be or act in association with. 
0 	 A plant structure near the top of the plant.	a strong current of air. 
0 	 the act of rubbing a surface	the act of giving temporary assistance. 
0.4 	 the act of forecasting or predicting something	the act of starting something. 
5 	 Amount that can be contained	the amount that can be contained. 
0 	 rounded end of a bone	put in the mind of someone. 
0 	 the action of placing or situating an object	the condition of living or the state of being alive. 
1.8 	 the act of harming or hurting someone	the act of hindering or obstructing or impeding. 
4.5 	 administer or bestow, as portions	administer or bestow, as in small portions. 
0 	 the assertion of a proposition offered as true	the action of opposing something that you disapprove or disagree with. 
0 	 the act of entering a structure	the state of being actual or real. 
0 	 the act of preserving or protecting something	the act of ending something. 
4.8 	 An area that is central within some larger region.	an area that is approximately central within some larger region. 
0 	 reduce the price of something	the rate of some repeating event. 
0 	 An instance or action of being incorrect.	the status or fact of being elected. 
0 	 the state of being in working order	the state of being actual or real. 
1.3 	 the state of being retained	the state of being connected. 
1.2 	 the action of placing or situating an object	a formation of people or things one beside another. 
0.4 	 the act of conscripting soldiers for an army	the act of competing as for profit or a prize. 
0.4 	 the act of forecasting or predicting something	the act of stopping something. 
0.8 	 the state of being employed	the state of being excluded. 
0 	 have in mind as a plan or purpose	wipe with a sponge, so as to clean or moisten. 
0 	 the act of protesting, dissenting	the act of hitting vigorously. 
5 	 class of students taught together	a body of students who are taught together. 
4.85 	 Advance; contribute to the progress or growth of.	contribute to the progress or growth of. 
